date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
01-2005,,,"Abilene, TX",20,20,0,0,0,0,
01-2005,,,"Akron, OH",135,107,0,0,28,2,
01-2005,,,"Albany, GA",70,47,2,0,21,2,
01-2005,,,"Albany-Schenectady-Troy, NY",73,63,0,0,10,1,
01-2005,,,"Albuquerque, NM",580,502,18,7,53,2,
01-2005,,,"Alexandria, LA",26,26,0,0,0,0,
01-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",228,217,2,3,6,1,
01-2005,,,"Altoona, PA",6,6,0,0,0,0,
01-2005,,,"Amarillo, TX",83,83,0,0,0,0,
01-2005,,,"Ames, IA",31,7,0,0,24,2,
01-2005,,,"Anchorage, AK",51,33,10,8,0,0,
01-2005,,,"Anderson, IN",26,26,0,0,0,0,
01-2005,,,"Anderson, SC",103,97,6,0,0,0,
01-2005,,,"Ann Arbor, MI",92,87,0,0,5,1,
01-2005,,,"Anniston-Oxford, AL",33,33,0,0,0,0,
01-2005,,,"Appleton, WI",47,41,6,0,0,0,
01-2005,,,"Asheville, NC",248,232,2,0,14,1,
01-2005,,,"Athens-Clarke County, GA",112,112,0,0,0,0,
01-2005,,,"Atlanta-Sandy Springs-Marietta, GA",5059,4597,22,15,425,11,
01-2005,,,"Atlantic City, NJ",107,102,0,0,5,1,
01-2005,,,"Auburn-Opelika, AL",111,109,2,0,0,0,
01-2005,,,"Augusta-Richmond County, GA-SC",309,220,0,0,89,1,
01-2005,,,"Austin-Round Rock, TX",918,888,18,4,8,1,
01-2005,,,"Bakersfield, CA",460,453,4,3,0,0,
01-2005,,,"Baltimore-Towson, MD",540,497,0,10,33,3,
01-2005,,,"Bangor, ME",15,11,0,4,0,0,
01-2005,,,"Barnstable Town, MA",61,53,0,8,0,0,
01-2005,,,"Baton Rouge, LA",453,363,0,0,90,15,
01-2005,,,"Battle Creek, MI",7,7,0,0,0,0,
01-2005,,,"Bay City, MI",1,1,0,0,0,0,
01-2005,,,"Beaumont-Port Arthur, TX",46,46,0,0,0,0,
01-2005,,,"Bellingham, WA",138,85,2,4,47,1,
01-2005,,,"Bend, OR",237,224,10,3,0,0,
01-2005,,,"Billings, MT",16,8,8,0,0,0,
01-2005,,,"Binghamton, NY",5,5,0,0,0,0,
01-2005,,,"Birmingham-Hoover, AL",671,511,0,0,160,20,
01-2005,,,"Bismarck, ND",11,8,0,3,0,0,
01-2005,,,"Blacksburg-Christiansburg-Radford, VA",3,3,0,0,0,0,
01-2005,,,"Bloomington, IN",48,29,6,0,13,1,
01-2005,,,"Bloomington-Normal, IL",20,20,0,0,0,0,
01-2005,,,"Boise City-Nampa, ID",623,583,24,16,0,0,
01-2005,,,"Boston-Cambridge-Quincy, MA-NH",1157,488,58,36,575,18,
01-2005,,,"Boulder, CO",68,66,2,0,0,0,
01-2005,,,"Bowling Green, KY",116,59,0,0,57,2,
01-2005,,,"Bremerton-Silverdale, WA",71,71,0,0,0,0,
01-2005,,,"Bridgeport-Stamford-Norwalk, CT",132,116,0,0,16,2,
01-2005,,,"Brownsville-Harlingen, TX",210,202,8,0,0,0,
01-2005,,,"Brunswick, GA",72,72,0,0,0,0,
01-2005,,,"Buffalo-Niagara Falls, NY",83,66,0,0,17,1,
01-2005,,,"Burlington, NC",120,120,0,0,0,0,
01-2005,,,"Burlington-South Burlington, VT",37,19,4,3,11,2,
01-2005,,,"Canton-Massillon, OH",58,55,0,3,0,0,
01-2005,,,"Cape Coral-Fort Myers, FL",2181,1823,16,24,318,33,
01-2005,,,"Carson City, NV",28,4,0,0,24,1,
01-2005,,,"Casper, WY",13,13,0,0,0,0,
01-2005,,,"Cedar Rapids, IA",65,23,2,7,33,2,
01-2005,,,"Champaign-Urbana, IL",38,38,0,0,0,0,
01-2005,,,"Charleston, WV",20,20,0,0,0,0,
01-2005,,,"Charleston-North Charleston, SC",711,466,0,3,242,16,
01-2005,,,"Charlotte-Gastonia-Concord, NC-SC",1419,1321,8,0,90,9,
01-2005,,,"Charlottesville, VA",163,121,2,0,40,3,
01-2005,,,"Chattanooga, TN-GA",229,219,2,0,8,1,
01-2005,,,"Cheyenne, WY",45,32,0,8,5,1,
01-2005,,,"Chicago-Naperville-Joliet, IL-IN-WI",2532,1757,42,208,525,36,
01-2005,,,"Chico, CA",82,76,6,0,0,0,
01-2005,,,"Cincinnati-Middletown, OH-KY-IN",698,629,4,23,42,6,
01-2005,,,"Clarksville, TN-KY",161,161,0,0,0,0,
01-2005,,,"Cleveland, TN",47,43,4,0,0,0,
01-2005,,,"Cleveland-Elyria-Mentor, OH",382,348,6,3,25,3,
01-2005,,,"Coeur d""Alene, ID",128,121,2,0,5,1,
01-2005,,,"College Station-Bryan, TX",370,62,4,100,204,10,
